time (s),Current (A), Voltage (V), Power (W), Battery Temp (C), Ambient Temp (C)
437.208784,-2.6166,3.1593,-8.2661,21.403975,20.282133
438.210988,-2.5877,3.1602,-8.1772,21.416192,20.274009
439.20913,-2.591,3.158,-8.1823,21.407256,20.280977
440.214102,-2.635,3.1598,-8.3258,21.419284,20.268962
441.211032,-2.6107,3.159,-8.2463,21.417399,20.259674
442.208584,-2.601,3.159,-8.2164,21.413323,20.261885
443.208988,-2.587,3.1603,-8.1757,21.410744,20.257084
444.211667,-2.6244,3.1583,-8.2879,21.438479,20.24673
445.209028,-2.6171,3.1589,-8.2665,21.441084,20.238235
446.210419,-2.6043,3.1591,-8.2271,21.426928,20.242568
447.210043,-2.5976,3.1581,-8.2024,21.437738,20.244508
448.210678,-2.5863,3.1585,-8.1681,21.440731,20.238252
449.212091,-2.6295,3.1591,-8.3068,21.457105,20.226518
450.213929,-2.6262,3.158,-8.2933,21.453471,20.201414
451.212871,-2.622,3.1588,-8.2822,21.439963,20.185671
452.210688,-2.6036,3.1588,-8.2242,21.445454,20.215964
453.21057,-2.5841,3.1584,-8.1614,21.439873,20.182619
454.208679,-2.5778,3.1584,-8.1415,21.444164,20.194688
455.210081,-2.6099,3.1587,-8.2432,21.434994,20.170333
456.213194,-2.5858,3.1579,-8.165,21.462277,20.167669
457.215575,-2.5939,3.158,-8.1907,21.464855,20.148044
458.21559,-2.609,3.1588,-8.2411,21.450086,20.181741
459.212731,-2.6064,3.1575,-8.2298,21.458939,20.160256
460.214039,-2.6183,3.158,-8.2682,21.462708,20.159958
461.210127,-2.6147,3.1568,-8.2542,21.450039,20.143203
462.209091,-2.6359,3.1572,-8.3214,21.465096,20.142733
463.211272,-2.5986,3.1575,-8.2046,21.468305,20.130771
464.211976,-2.6008,3.1577,-8.2122,21.471929,20.132549
465.210364,-2.5906,3.1587,-8.1825,21.477888,20.11964
466.208927,-2.584,3.1575,-8.159,21.457917,20.115929
467.212177,-2.5971,3.1584,-8.2022,21.473316,20.10988
468.208945,-2.5997,3.1582,-8.2102,21.471675,20.11823
469.209188,-2.5823,3.1576,-8.1539,21.494115,20.122562
470.208185,-2.6129,3.157,-8.2486,21.474874,20.11144
471.210833,-2.5926,3.158,-8.1871,21.479093,20.124177
472.209418,-2.604,3.159,-8.2257,21.492229,20.127336
473.210737,-2.58,3.1582,-8.1476,21.487513,20.10966
474.21032,-2.5991,3.1581,-8.2078,21.499982,20.092164
475.210498,-2.6126,3.1579,-8.2498,21.501163,20.115924
476.211476,-2.5892,3.1582,-8.1768,21.504976,20.099016
477.214668,-2.6052,3.1584,-8.2281,21.494769,20.093608
478.210548,-2.6023,3.1576,-8.2165,21.50117,20.087432
479.21097,-2.6525,3.1567,-8.3727,21.504407,20.093264
480.211143,-2.6024,3.1563,-8.2139,21.502747,20.089751
481.213555,-2.5771,3.158,-8.1381,21.50987,20.077636
482.211064,-2.5931,3.1575,-8.1876,21.499437,20.079035
483.211421,-2.5772,3.1582,-8.139,21.503539,20.085363
484.208225,-2.576,3.1568,-8.1314,21.508534,20.085922
485.207495,-2.6076,3.1579,-8.2341,21.509048,20.066079
486.210591,-2.5728,3.158,-8.1241,21.504485,20.06003
487.21091,-2.632,3.1569,-8.3084,21.512266,20.06634
488.209116,-2.577,3.1577,-8.1372,21.521939,20.066033
489.211185,-2.6008,3.1562,-8.208,21.506125,20.073146
490.210412,-2.6219,3.1569,-8.2764,21.527411,20.054115
491.212551,-2.6178,3.1569,-8.2636,21.52018,20.058719
492.210925,-2.6272,3.1567,-8.293,21.513923,20.052453
493.210251,-2.5742,3.1582,-8.1298,21.505014,20.063891
494.211659,-2.6111,3.1564,-8.2415,21.519548,20.077703
495.209247,-2.629,3.1549,-8.2936,21.519106,20.084663
496.210343,-2.6195,3.1567,-8.2688,21.53427,20.060243
497.209976,-2.592,3.1566,-8.1815,21.526597,20.073288
498.210456,-2.5916,3.1578,-8.1837,21.529933,20.061452
499.210449,-2.605,3.1577,-8.2252,21.52391,20.070227
500.20931,-2.5857,3.1571,-8.1629,21.537722,20.043342
501.2107,-2.5912,3.157,-8.1802,21.531645,20.052433
502.211321,-2.6084,3.157,-8.2343,21.544114,20.060846
503.209249,-2.5752,3.1575,-8.1308,21.525893,20.050744
504.211038,-2.6212,3.1561,-8.2729,21.549848,20.034755
505.212436,-2.6023,3.1568,-8.2145,21.539137,20.044018
506.211279,-2.6115,3.1567,-8.2435,21.542166,20.047421
507.211921,-2.6124,3.1565,-8.2459,21.559223,20.074495
508.211443,-2.6262,3.1562,-8.2883,21.566327,20.039043
509.210116,-2.6013,3.1558,-8.2089,21.560007,20.04641
510.21152,-2.5816,3.157,-8.1498,21.547133,20.052025
511.213234,-2.587,3.1563,-8.1648,21.544428,20.075596
512.212627,-2.5996,3.1561,-8.2043,21.570014,20.0568
513.211512,-2.6391,3.1552,-8.326,21.56364,20.044125
514.210315,-2.5693,3.1574,-8.1121,21.546276,20.047095
515.208646,-2.5753,3.1565,-8.1287,21.535619,20.041606
516.212564,-2.6031,3.1546,-8.2114,21.574341,20.038184
517.209246,-2.5923,3.1558,-8.1804,21.563694,20.054543
518.209342,-2.5998,3.1558,-8.2044,21.55264,20.043845
519.210582,-2.5767,3.1553,-8.1295,21.565163,20.048241
520.210907,-2.6012,3.1559,-8.2087,21.575468,20.027098
521.212002,-2.5847,3.1559,-8.1567,21.579651,20.055716
522.213649,-2.6368,3.1545,-8.3172,21.574377,20.056357
523.211176,-2.5734,3.1565,-8.1223,21.586529,20.057792
524.211686,-2.6016,3.1565,-8.2113,21.578506,20.043095
525.210604,-2.5923,3.1554,-8.18,21.575215,20.055346
526.212247,-2.5778,3.1554,-8.1336,21.576838,20.047717
527.214807,-2.5991,3.1562,-8.2032,21.577306,20.045595
528.212395,-2.5776,3.1563,-8.1352,21.564495,20.031286
529.213243,-2.5559,3.1566,-8.0674,21.581769,20.043031
530.214938,-2.5958,3.1564,-8.193,21.574566,20.043961
531.213105,-2.6007,3.1558,-8.2068,21.575034,20.036658
532.212405,-2.5978,3.1559,-8.198,21.584681,20.028921
533.208858,-2.6032,3.1565,-8.2169,21.572474,20.031873
534.209175,-2.6029,3.1545,-8.2108,21.599078,20.016317
535.209903,-2.5977,3.1544,-8.1941,21.587863,20.01397
536.21003,-2.5981,3.1548,-8.1964,21.57434,20.014494
537.215001,-2.5915,3.1538,-8.1725,21.577757,20.015694
538.212807,-2.5838,3.1546,-8.1508,21.602694,20.016236
539.211302,-2.6019,3.1557,-8.2107,21.599746,20.017356
540.211196,-2.5987,3.1553,-8.1996,21.591154,20.030221
541.213983,-2.5909,3.1549,-8.1734,21.588702,20.022953
542.214699,-2.5907,3.1558,-8.1755,21.596852,20.039628
543.211366,-2.6166,3.1554,-8.2564,21.603523,20.013365
544.212816,-2.6149,3.155,-8.2497,21.559068,20.009194
545.214353,-2.5658,3.1553,-8.0953,21.596969,20.02531
546.212119,-2.6046,3.1544,-8.2158,21.600251,20.025265
547.210608,-2.6068,3.1542,-8.2217,21.58936,20.045451
548.210314,-2.6041,3.1558,-8.2177,21.594364,20.012337
549.209085,-2.5948,3.1554,-8.187,21.600495,20.025509
550.210693,-2.6159,3.154,-8.2504,21.593138,20.01222
551.21051,-2.596,3.1549,-8.1897,21.599251,20.032777
552.211833,-2.5802,3.155,-8.1402,21.604732,20.02494
553.214792,-2.5955,3.1553,-8.1893,21.596979,20.015326
554.210051,-2.6167,3.1547,-8.2545,21.605679,20.032551
555.211051,-2.5981,3.1539,-8.1933,21.607122,20.024002
556.208168,-2.5951,3.1534,-8.1835,21.613469,20.029247
557.213913,-2.5941,3.1548,-8.1832,21.615903,20.013548
558.211024,-2.6014,3.1546,-8.2059,21.606347,20.017304
559.212472,-2.5814,3.1547,-8.1431,21.600596,20.015986
560.213646,-2.592,3.1552,-8.1777,21.59635,20.015806
561.213298,-2.6446,3.1532,-8.3387,21.60944,20.006706
562.211946,-2.605,3.1543,-8.2166,21.600696,20.017937
563.210287,-2.6083,3.1539,-8.2257,21.610379,20.01949
564.210072,-2.6273,3.1549,-8.2885,21.600751,20.015031
565.210927,-2.604,3.1537,-8.2118,21.614319,20.001597
566.210259,-2.6239,3.1538,-8.2752,21.604042,20.00278
567.212039,-2.5703,3.1536,-8.1055,21.610425,19.998438
568.212881,-2.6277,3.1525,-8.2832,21.611336,20.005273
569.208525,-2.5946,3.1532,-8.1811,21.619423,20.000786
570.211572,-2.6052,3.1535,-8.2154,21.607118,19.988463
571.212462,-2.5765,3.1534,-8.1246,21.61424,19.989303
572.211874,-2.6006,3.1532,-8.2003,21.60802,19.99788
573.209183,-2.584,3.1545,-8.1507,21.617821,20.006584
574.210128,-2.5984,3.1533,-8.1934,21.622662,19.996997
575.211975,-2.5967,3.1535,-8.1881,21.611926,20.012896
576.213527,-2.581,3.1526,-8.1364,21.623132,19.988953
577.21503,-2.5866,3.1538,-8.1576,21.620491,19.985198
578.213592,-2.6094,3.1544,-8.2307,21.630967,19.977181
579.211598,-2.6237,3.1534,-8.2732,21.612865,19.995699
580.210406,-2.5996,3.1529,-8.1956,21.611622,19.997786
581.21032,-2.5929,3.1532,-8.1755,21.622955,19.989146
582.20919,-2.5829,3.153,-8.1437,21.61504,19.993435
583.209991,-2.5939,3.1538,-8.1803,21.605457,19.996053
584.211318,-2.5723,3.1534,-8.1103,21.61734,19.997219
585.212128,-2.5791,3.153,-8.1314,21.605025,19.987108
586.211926,-2.5972,3.1531,-8.1889,21.625337,19.978576
587.211874,-2.5652,3.1536,-8.0894,21.625924,19.99249
588.211756,-2.6146,3.1521,-8.2413,21.624194,19.993718
589.210756,-2.6131,3.152,-8.2363,21.615341,19.981151
590.210203,-2.5662,3.1537,-8.0931,21.628369,19.988275
591.209598,-2.5836,3.1532,-8.1463,21.635347,19.991932
592.211205,-2.6078,3.1526,-8.2212,21.619102,19.98899
593.209245,-2.6107,3.1534,-8.2322,21.636195,19.98908
594.208776,-2.5879,3.1526,-8.1583,21.610836,20.014396
595.214798,-2.5998,3.1526,-8.196,21.635133,19.99653
596.210721,-2.5749,3.1532,-8.1189,21.629869,19.985706
597.210654,-2.5782,3.154,-8.1316,21.618871,19.985797
598.212791,-2.5656,3.1521,-8.0864,21.62987,19.982005
599.213105,-2.577,3.1536,-8.1264,21.630357,19.97435
600.213856,-2.589,3.1532,-8.1635,21.629466,19.986043
601.214107,-2.5973,3.1538,-8.1913,21.634659,19.987171
602.210562,-2.5909,3.1525,-8.1673,21.615421,19.994558
603.210328,-2.6294,3.152,-8.2876,21.622184,19.995777
604.210383,-2.5732,3.1523,-8.1107,21.630965,20.00161
605.210647,-2.6217,3.1512,-8.2609,21.636374,20.007397
606.211912,-2.6037,3.1524,-8.2076,21.637024,20.006938
607.209996,-2.5954,3.1527,-8.1818,21.638747,20.017917
608.209087,-2.6102,3.1529,-8.2294,21.644652,19.990517
609.208972,-2.6236,3.1511,-8.267,21.620844,19.989624
610.211728,-2.5915,3.1522,-8.1687,21.634557,20.012241
611.212939,-2.617,3.1514,-8.2467,21.64844,20.019481
612.207095,-2.6032,3.1517,-8.2042,21.628429,20.024241
613.213126,-2.5879,3.1525,-8.1577,21.640383,20.032511
614.213735,-2.617,3.1525,-8.2495,21.650796,20.027763
615.213986,-2.612,3.1513,-8.2312,21.639005,20.030391
616.213378,-2.5914,3.1521,-8.1681,21.63952,20.01499
617.208103,-2.6031,3.1528,-8.2069,21.633562,20.016426
618.211066,-2.5861,3.1522,-8.1517,21.63606,20.019668
619.209385,-2.6444,3.1517,-8.3337,21.642831,20.024228
620.212008,-2.6021,3.1517,-8.2008,21.635114,20.018351
621.215458,-2.6002,3.1519,-8.1957,21.639794,20.016005
622.214407,-2.5769,3.1521,-8.1225,21.646647,20.004729
623.213218,-2.6014,3.1526,-8.2011,21.642582,19.992886
624.215087,-2.6101,3.1498,-8.2209,21.64269,20.011132
625.212872,-2.6077,3.1521,-8.2191,21.636832,20.004525
626.213646,-2.6131,3.1509,-8.2331,21.643053,19.995948
627.214207,-2.6034,3.1521,-8.206,21.644992,19.990487
628.213772,-2.6031,3.1514,-8.203,21.633193,19.986814
629.209654,-2.5667,3.1515,-8.0884,21.62774,20.002823
630.209058,-2.5682,3.153,-8.0972,21.661898,20.01112
631.210811,-2.5776,3.1511,-8.122,21.645907,20.000287
632.211071,-2.6196,3.151,-8.2539,21.661792,19.985472
633.212047,-2.6072,3.1513,-8.2158,21.633134,19.978612
634.20905,-2.5963,3.1522,-8.1838,21.642187,19.981015
635.210992,-2.5995,3.1518,-8.193,21.653006,19.980004
636.211107,-2.6153,3.1508,-8.2401,21.648165,19.991074
637.211434,-2.6083,3.1513,-8.2195,21.649681,19.980006
638.210057,-2.5873,3.1517,-8.1541,21.647671,19.958004
639.209816,-2.5905,3.151,-8.1626,21.654749,19.997298
640.213236,-2.6069,3.1502,-8.212,21.65558,19.997389
641.21465,-2.6013,3.1504,-8.1947,21.658267,19.986384
642.212101,-2.5906,3.1509,-8.1624,21.646495,19.988291
643.21355,-2.5826,3.1516,-8.1391,21.671612,19.990125
644.212718,-2.5905,3.1512,-8.1629,21.639852,19.982008
645.21408,-2.6176,3.1507,-8.247,21.673308,20.007
646.208809,-2.6128,3.1509,-8.232,21.653818,20.003768
647.210013,-2.6098,3.1505,-8.222,21.662041,19.992755
648.212965,-2.574,3.1508,-8.1098,21.655787,19.969464
649.212318,-2.5953,3.1503,-8.1758,21.651038,19.99358
650.212104,-2.6146,3.1515,-8.2393,21.657402,19.972192
651.214888,-2.6154,3.1505,-8.2396,21.658044,19.982829
652.213347,-2.6171,3.151,-8.2461,21.652176,19.996571
653.209784,-2.6094,3.1504,-8.2199,21.659875,19.99984
654.211346,-2.595,3.1505,-8.1754,21.662743,19.991237
655.213046,-2.5951,3.1509,-8.1761,21.658779,19.999112
656.211483,-2.5971,3.1504,-8.1811,21.655606,20.001487
657.212536,-2.6263,3.1507,-8.2746,21.658528,19.995529
658.213935,-2.5928,3.1509,-8.1697,21.663162,20.005723
659.211505,-2.5998,3.1494,-8.1876,21.651761,20.002448
660.210349,-2.5765,3.1509,-8.1179,21.653258,19.996544
661.21125,-2.5918,3.151,-8.1664,21.653557,20.006838
662.212385,-2.6195,3.1501,-8.2514,21.67221,19.993315
663.210646,-2.6389,3.1493,-8.3102,21.654822,19.981823
664.214236,-2.593,3.1502,-8.1679,21.670536,19.991268
665.21097,-2.6261,3.1487,-8.2681,21.662793,19.984254
666.208778,-2.6141,3.1499,-8.234,21.662127,19.986918
667.208848,-2.6139,3.1502,-8.2342,21.661444,20.004372
668.212348,-2.6087,3.1504,-8.2176,21.653784,19.99522
669.211184,-2.6106,3.1503,-8.2238,21.644751,19.989876
670.208402,-2.6169,3.1491,-8.2411,21.664875,19.993372
671.208854,-2.5785,3.1506,-8.1234,21.67371,20.00222
672.213164,-2.6078,3.1505,-8.2151,21.662336,20.004155
673.208799,-2.6003,3.1493,-8.1888,21.662192,19.988094
674.216155,-2.6065,3.1499,-8.2101,21.66571,20.000501
675.213472,-2.6149,3.1491,-8.2341,21.666333,19.985579
676.212193,-2.6036,3.1495,-8.1994,21.672293,20.002282
677.213631,-2.6251,3.1489,-8.2659,21.66493,19.997499
678.211967,-2.6192,3.15,-8.25,21.66439,19.997699
679.212615,-2.5887,3.1504,-8.1552,21.659523,19.990234
680.210817,-2.5933,3.1502,-8.169,21.672281,19.987464
681.212138,-2.6032,3.15,-8.1997,21.674456,20.003708
682.21044,-2.5942,3.1487,-8.1679,21.672888,19.999917
683.213036,-2.6274,3.1491,-8.274,21.660945,19.986475
684.212382,-2.5835,3.1489,-8.1349,21.666581,19.980644
685.210647,-2.5658,3.1505,-8.0831,21.671928,19.992292
686.211805,-2.6153,3.149,-8.2351,21.673317,19.979987
687.213894,-2.6012,3.1488,-8.1902,21.66964,19.977415
688.210759,-2.602,3.1489,-8.1934,21.655506,19.988061
689.210453,-2.5798,3.1502,-8.1269,21.674736,19.991033
690.214576,-2.5975,3.1485,-8.1782,21.675243,20.004126
691.213978,-2.5804,3.1492,-8.1263,21.655527,20.003629
692.215895,-2.5761,3.1487,-8.1108,21.686026,19.984943
693.213679,-2.5873,3.1485,-8.1455,21.675381,19.99501
694.213959,-2.5895,3.1494,-8.155,21.685406,19.989133
695.213844,-2.6098,3.1486,-8.2167,21.667144,20.001938
696.211503,-2.5566,3.1496,-8.0516,21.692674,19.992341
697.210181,-2.6012,3.1489,-8.1904,21.666705,19.995945
698.211251,-2.5852,3.1489,-8.1406,21.681011,19.992135
699.211074,-2.5785,3.1491,-8.1198,21.678289,19.989039
700.21136,-2.6029,3.1484,-8.1944,21.673476,20.000506
701.212791,-2.5841,3.149,-8.1365,21.675101,19.998801
702.212175,-2.5816,3.1491,-8.1298,21.689912,20.008822
703.210332,-2.6099,3.1493,-8.2189,21.679932,20.005121
704.209678,-2.6027,3.1484,-8.1936,21.678834,20.012165
705.21299,-2.6083,3.1483,-8.2119,21.687508,20.023812
706.209831,-2.6488,3.149,-8.3411,21.676123,19.998345
707.212067,-2.625,3.1491,-8.2664,21.684481,20.012638
708.212192,-2.5951,3.1495,-8.173,21.689124,20.017287
709.2113,-2.5882,3.149,-8.1499,21.690964,20.009506
710.212657,-2.5945,3.1495,-8.171,21.707407,20.01635
711.211685,-2.6141,3.1483,-8.2298,21.693473,20.01498
712.211694,-2.6205,3.1494,-8.2525,21.702408,20.0032
713.215317,-2.5944,3.149,-8.1696,21.678223,20.018955
714.211588,-2.5937,3.1483,-8.1651,21.698435,20.019579
715.214815,-2.6148,3.1483,-8.232,21.70747,20.027888
716.214293,-2.611,3.1482,-8.2197,21.707812,20.045998
717.211377,-2.6096,3.1481,-8.2148,21.701478,20.024848
718.211983,-2.5908,3.1486,-8.1572,21.70358,20.016219
719.210289,-2.6114,3.1473,-8.2181,21.698471,20.025168
720.209249,-2.5728,3.1486,-8.1002,21.696326,20.02376
721.212152,-2.5826,3.148,-8.1299,21.707155,20.019799
722.210918,-2.5813,3.1483,-8.1263,21.70309,20.027573
723.207639,-2.6189,3.1476,-8.2429,21.710512,20.032044
724.212399,-2.5689,3.1479,-8.0861,21.707458,20.041571
725.21336,-2.6139,3.1485,-8.2297,21.705883,20.034442
726.211154,-2.5841,3.1478,-8.1344,21.713952,20.027347
727.211464,-2.5475,3.1488,-8.0215,21.706121,20.03505
728.213234,-2.6133,3.1468,-8.2229,21.714174,20.032381
729.209582,-2.5971,3.1478,-8.1751,21.715229,20.033067
730.212851,-2.6098,3.1479,-8.2152,21.7255,20.043724
731.211922,-2.5933,3.1478,-8.1625,21.719155,20.045513
732.213171,-2.5835,3.1464,-8.1281,21.718651,20.024649
733.211621,-2.585,3.1481,-8.1371,21.718789,20.034041
734.212169,-2.5799,3.1478,-8.1205,21.701079,20.033331
735.211726,-2.6114,3.1474,-8.2185,21.704551,20.050504
736.212588,-2.6103,3.1475,-8.2159,21.711396,20.044034
737.208104,-2.5935,3.1475,-8.1627,21.709143,20.066948
738.210464,-2.6227,3.1474,-8.2545,21.713166,20.048768
739.209725,-2.598,3.1473,-8.1763,21.710933,20.047642
740.212048,-2.6154,3.1472,-8.2304,21.733127,20.048032
741.211366,-2.5809,3.1483,-8.1252,21.713227,20.038835
742.209694,-2.6214,3.1486,-8.2537,21.723109,20.037998
743.209783,-2.616,3.1477,-8.2338,21.715763,20.069877
744.213358,-2.5782,3.147,-8.1136,21.728522,20.066368
745.21006,-2.589,3.1471,-8.1473,21.730065,20.036452
746.209634,-2.5837,3.1472,-8.131,21.727759,20.061162
747.213522,-2.6135,3.147,-8.2241,21.718639,20.048327
748.212226,-2.5903,3.1465,-8.1502,21.728971,20.051642
749.210247,-2.5929,3.1476,-8.1613,21.725637,20.062739
750.211795,-2.6059,3.1478,-8.203,21.723089,20.060556
751.210299,-2.5857,3.1478,-8.1389,21.728932,20.049383
752.213422,-2.5888,3.1476,-8.1483,21.71883,20.044077
753.212283,-2.6004,3.1464,-8.1817,21.738214,20.064971
754.213472,-2.5926,3.1475,-8.1604,21.722503,20.043313
755.212247,-2.6241,3.146,-8.2553,21.725679,20.046124
756.211995,-2.5944,3.1467,-8.1634,21.732666,20.063116
757.21044,-2.5958,3.1469,-8.1684,21.734391,20.070765
758.213373,-2.6161,3.1463,-8.2306,21.731434,20.059661
759.213737,-2.6069,3.146,-8.2011,21.731492,20.070823
760.212166,-2.6029,3.1463,-8.1893,21.734098,20.071582
761.213449,-2.6038,3.1458,-8.1908,21.746533,20.057756
762.210437,-2.611,3.1468,-8.2164,21.735114,20.056684
763.210256,-2.5845,3.1454,-8.1295,21.735222,20.055682
764.211361,-2.5932,3.1461,-8.1587,21.741952,20.057239
765.21124,-2.5979,3.147,-8.1754,21.725601,20.060112
766.214157,-2.6041,3.1467,-8.1936,21.726856,20.074324
767.210924,-2.5941,3.1457,-8.1598,21.754748,20.08338
768.212262,-2.6089,3.1455,-8.2058,21.735199,20.076757
769.211283,-2.5974,3.1459,-8.1708,21.743141,20.069905
770.208848,-2.611,3.1468,-8.2159,21.733013,20.08271
771.211798,-2.6101,3.1455,-8.2097,21.735827,20.092931
772.211231,-2.6123,3.1464,-8.219,21.759122,20.092942
773.208386,-2.5792,3.1465,-8.1149,21.748489,20.079332
774.211068,-2.5704,3.146,-8.0865,21.757701,20.080416
775.213052,-2.6081,3.1455,-8.2036,21.752628,20.078665
776.214052,-2.6114,3.1458,-8.2148,21.735846,20.077775
777.213167,-2.5833,3.1471,-8.1299,21.748458,20.071899
778.211895,-2.6198,3.145,-8.2391,21.756843,20.086589
779.211603,-2.6041,3.1464,-8.1937,21.749537,20.090745
780.214204,-2.5979,3.1464,-8.1736,21.759327,20.089816
781.212612,-2.6033,3.1449,-8.1869,21.756139,20.085884
782.211936,-2.6204,3.1463,-8.2443,21.761252,20.094335
783.212182,-2.595,3.1453,-8.1619,21.763596,20.071514
784.211504,-2.6172,3.1453,-8.2314,21.762238,20.107166
785.208473,-2.5923,3.1457,-8.1543,21.775796,20.07707
786.212282,-2.6378,3.1455,-8.2968,21.756987,20.084512
787.20956,-2.6001,3.1465,-8.1809,21.780074,20.093198
788.215817,-2.6174,3.1457,-8.2333,21.787619,20.077067
789.214213,-2.5753,3.1459,-8.1011,21.77182,20.111952
790.211398,-2.5937,3.1449,-8.1564,21.758058,20.103721
791.212485,-2.6184,3.1456,-8.2358,21.759521,20.092231
792.211957,-2.6004,3.1464,-8.1812,21.761334,20.091827
793.211335,-2.5891,3.1463,-8.1457,21.758955,20.10758
794.212774,-2.6175,3.1446,-8.2309,21.767494,20.106879
795.213809,-2.5983,3.1458,-8.1733,21.769119,20.09148
796.214449,-2.5872,3.1463,-8.1398,21.761042,20.110781
797.213995,-2.6085,3.1461,-8.206,21.783228,20.091916
798.209614,-2.5998,3.1465,-8.18,21.770709,20.08308
799.211506,-2.5963,3.1449,-8.1648,21.776984,20.114903
800.21197,-2.5898,3.1453,-8.1453,21.781989,20.090675
801.212641,-2.6176,3.1448,-8.2314,21.773516,20.109949
802.212296,-2.5982,3.1458,-8.1732,21.797242,20.106321
803.211626,-2.6033,3.1454,-8.1882,21.778386,20.111495
804.21195,-2.5956,3.145,-8.1627,21.785285,20.115814
805.213723,-2.614,3.1451,-8.2211,21.794524,20.118775
806.213424,-2.6045,3.1448,-8.1909,21.792265,20.11059
807.212373,-2.5842,3.1458,-8.129,21.813242,20.087184
808.212076,-2.6076,3.1451,-8.2007,21.786102,20.101827
809.211933,-2.6212,3.1454,-8.2445,21.789998,20.099437
810.213043,-2.5968,3.1446,-8.1655,21.799257,20.106489
811.213613,-2.6026,3.1452,-8.1851,21.805767,20.108567
812.213302,-2.6226,3.145,-8.2476,21.805732,20.118156
813.21159,-2.5894,3.1446,-8.1423,21.788121,20.123465
814.212957,-2.5834,3.1461,-8.1274,21.816361,20.1251
815.213288,-2.6156,3.1449,-8.2256,21.813801,20.124386
816.213283,-2.5824,3.1453,-8.1223,21.818968,20.119567
817.210117,-2.5851,3.1435,-8.1261,21.808062,20.118268
818.211377,-2.6144,3.1443,-8.2204,21.819954,20.119814
819.209572,-2.6239,3.1439,-8.2488,21.817944,20.121133
820.209337,-2.5763,3.1447,-8.1013,21.817479,20.116226
821.210384,-2.5963,3.1441,-8.1623,21.820805,20.137692
822.211165,-2.6076,3.1444,-8.1992,21.825213,20.12027
823.211447,-2.5767,3.1465,-8.1072,21.822141,20.111272
824.212185,-2.5832,3.144,-8.1213,21.819601,20.142408
825.212547,-2.5883,3.1444,-8.1388,21.827085,20.136949
826.215313,-2.5972,3.1456,-8.1695,21.823355,20.123961
827.212075,-2.5935,3.1437,-8.1526,21.832204,20.142077
828.213439,-2.6036,3.1449,-8.1873,21.84179,20.143905
829.211175,-2.6243,3.1432,-8.2484,21.832956,20.141719
830.211502,-2.5919,3.1436,-8.1474,21.847064,20.143636
831.212087,-2.6064,3.1436,-8.193,21.841621,20.147437
832.217446,-2.6311,3.1439,-8.2719,21.843724,20.152503
833.212652,-2.5819,3.1452,-8.1199,21.853748,20.137375
834.212039,-2.5906,3.143,-8.1421,21.850145,20.159675
835.212379,-2.6159,3.1445,-8.2251,21.836969,20.141297
836.212994,-2.6244,3.1433,-8.2491,21.861821,20.155084
837.213842,-2.5883,3.1439,-8.1368,21.842228,20.175802
838.213265,-2.5664,3.1441,-8.069,21.844699,20.170876
839.211524,-2.5786,3.1448,-8.1086,21.83513,20.160922
840.211603,-2.597,3.1435,-8.1635,21.845901,20.148762
841.210554,-2.621,3.1427,-8.2369,21.839181,20.145733
842.212211,-2.5797,3.1446,-8.1118,21.840859,20.157777
843.211763,-2.5857,3.1436,-8.1278,21.858664,20.155623
844.211372,-2.585,3.1443,-8.1278,21.860638,20.176476
845.212318,-2.6184,3.143,-8.2293,21.862109,20.170917
846.207512,-2.6251,3.1436,-8.2521,21.855316,20.156711
847.211695,-2.6069,3.1443,-8.1968,21.864278,20.183081
848.215038,-2.5925,3.1445,-8.1518,21.853265,20.163539
849.211435,-2.5822,3.1438,-8.1176,21.857053,20.173255
850.208959,-2.5798,3.1434,-8.1088,21.870188,20.181228
851.210841,-2.6077,3.1441,-8.1988,21.862393,20.181564
852.213588,-2.6003,3.144,-8.1753,21.86264,20.17552
853.212085,-2.5943,3.1448,-8.1586,21.866651,20.172875
854.213545,-2.5939,3.1445,-8.1565,21.886411,20.190074
855.214457,-2.608,3.1431,-8.1969,21.869566,20.19874
856.216095,-2.589,3.1421,-8.1346,21.886812,20.174191
857.212517,-2.5952,3.1436,-8.1576,21.874537,20.181512
858.21224,-2.5833,3.1442,-8.1222,21.871411,20.201329
859.213166,-2.6074,3.1426,-8.1937,21.882517,20.192096
860.21564,-2.6076,3.1431,-8.1955,21.879257,20.192902
861.210766,-2.5972,3.1423,-8.1609,21.875924,20.195856
862.212276,-2.5902,3.1431,-8.1408,21.874923,20.179679
863.209921,-2.6419,3.1425,-8.3022,21.877341,20.199495
864.209292,-2.6127,3.1438,-8.2135,21.880256,20.195383
865.209131,-2.6003,3.1439,-8.1745,21.881095,20.195853
866.209853,-2.6091,3.1432,-8.2006,21.886658,20.185881
867.209193,-2.5806,3.1432,-8.1108,21.88878,20.193557
868.210506,-2.6046,3.1437,-8.1879,21.893719,20.211456
869.211782,-2.6063,3.1431,-8.1922,21.889485,20.208697
870.210569,-2.585,3.1438,-8.1261,21.891776,20.20803
871.2128,-2.6279,3.1423,-8.2574,21.893051,20.22041
872.208166,-2.6012,3.1427,-8.1745,21.89518,20.216251
873.212492,-2.5985,3.1422,-8.1645,21.896227,20.199535
874.211474,-2.6137,3.1427,-8.2141,21.901702,20.206129
875.21425,-2.5566,3.1428,-8.0346,21.905767,20.21094
876.211583,-2.6249,3.142,-8.247,21.899243,20.213288
